Country,Date,AP Adj,Cost
CHINA,2015-01-01,-1.9285681777604413,-1.5607768073958312
CHINA,2015-02-01,-1.3042418265667288,-1.8427000127019928
CHINA,2015-03-01,-1.1785825466424895,-1.4857690992750268
CHINA,2015-04-01,-1.8214228280363212,-1.4622269429018848
CHINA,2015-05-01,-1.8850673354628533,-1.3244140056180815
CHINA,2015-06-01,-1.6691469010857887,-1.315259345096018
CHINA,2015-07-01,-1.6612987198667195,0.5833074360746819
CHINA,2015-08-01,-0.8359952955630617,-0.06262837843561254
CHINA,2015-09-01,-0.8799839977742676,-0.9358507707054522
CHINA,2015-10-01,-1.0348971964317486,-1.1236389661635582
CHINA,2015-11-01,-0.9845769209938072,-1.0250106651657516
CHINA,2015-12-01,-0.6601571488714952,-0.17628287253022284
CHINA,2016-01-01,-0.5535597577460039,-0.21861617418549556
CHINA,2016-02-01,-0.49068592757431684,-0.21622946342515353
CHINA,2016-03-01,-0.3462758579266802,-0.4124775960854126
CHINA,2016-04-01,-0.43136145503503875,0.06617556611901139
CHINA,2016-05-01,-0.8865948531254657,0.49188408821725044
CHINA,2016-06-01,-1.0669616124934407,0.0821205868324723
CHINA,2016-07-01,-0.8144057267770911,0.08942638690638363
CHINA,2016-08-01,-0.5802683204081962,0.8813661507465377
CHINA,2016-09-01,-0.43855208593575346,0.8302591658736681
CHINA,2016-10-01,-0.4018423950443957,0.48937412009369824
CHINA,2016-11-01,-0.2687202725285101,0.7578286571654393
CHINA,2016-12-01,-0.15962348314991887,3.3862807224073945
CHINA,2017-01-01,-0.6080515889670537,-0.9606815267848821
CHINA,2017-02-01,-1.026331366209314,-0.4706998923799602
CHINA,2017-03-01,-0.3651963380548148,0.517319925897893
CHINA,2017-04-01,0.5094162896918951,0.018799917786958154
CHINA,2017-05-01,0.4916553606627943,-0.5844552334081059
CHINA,2017-06-01,0.33272262054311436,-1.8549921333784973
CHINA,2017-07-01,0.5150443547823266,0.85921344101322
CHINA,2017-08-01,0.8492142547434646,0.38296939999881324
CHINA,2017-09-01,0.622104859304078,1.0405026118656995
CHINA,2017-10-01,0.7054334536800592,-0.132974717184105
CHINA,2017-11-01,0.7120902668492072,0.5573337480818489
CHINA,2017-12-01,1.6213374132460157,3.1075397981150212
CHINA,2018-01-01,1.4590781217073108,-0.6211191781799228
CHINA,2018-02-01,1.0754540744157421,0.4082366776326857
CHINA,2018-03-01,0.8040236663892077,-0.19657599842476148
CHINA,2018-04-01,0.9154749101335193,-0.4027855670753696
CHINA,2018-05-01,1.202965807925022,1.0346642131112616
CHINA,2018-06-01,2.0665414889303215,1.0662517137375764
CHINA,2018-07-01,1.6807114663771754,0.19432912638886116
CHINA,2018-08-01,0.6238937665445093,0.5889543825284637
CHINA,2018-09-01,0.49695120293444967,-0.6258813944857704
CHINA,2018-10-01,0.5332578791145581,0.9186342134711465
CHINA,2018-11-01,0.34022797329311183,0.03833012542414041
CHINA,2018-12-01,0.7591759065040226,1.0900515900519758
CHINA,2019-01-01,0.8049897568733041,-0.45000152863579196
CHINA,2019-02-01,0.7095106224748273,0.0016358605959306601
CHINA,2019-03-01,0.6547677908634382,-0.10355869629652693
CHINA,2019-04-01,1.176371348506479,0.06056408542522748
CHINA,2019-05-01,0.9690627021697981,-0.28772760736219005
CHINA,2019-06-01,1.163538511648272,0.4984190604070867
CHINA,2019-07-01,0.4873540657236918,-0.1884381986889824
Germany,2015-01-01,-1.8762354813839484,-0.4989821460297455
Germany,2015-02-01,-1.4767038083803892,-1.0206136603163962
Germany,2015-03-01,-1.1425059939292241,-0.5109157089582907
Germany,2015-04-01,-0.9297336611653411,-1.1359547915504504
Germany,2015-05-01,-0.7402678351064726,-0.5436705929797362
Germany,2015-06-01,-0.8530065609985282,-0.8857993510817875
Germany,2015-07-01,-0.7586577562185424,-0.4418108926691429
Germany,2015-08-01,-0.7314747108729375,0.6662129355624136
Germany,2015-09-01,-0.8457498697627882,-0.4644547034979922
Germany,2015-10-01,-0.7033343495825525,-0.7637424699988243
Germany,2015-11-01,-0.5005724687350723,-0.5055481022017272
Germany,2015-12-01,-0.3210934571618719,0.23917612825537984
Germany,2016-01-01,-0.4536048938640133,-1.0480009375812787
Germany,2016-02-01,-0.6160649553077917,-0.6881465943761589
Germany,2016-03-01,-0.6248226233952235,-0.5808443904705388
Germany,2016-04-01,-0.46427719384100563,-0.6034632356865677
Germany,2016-05-01,-0.7528074921115538,-0.11054217614432393
Germany,2016-06-01,-0.8217696962818172,-0.4958115132014499
Germany,2016-07-01,-0.5936684896860863,-1.0155955721393304
Germany,2016-08-01,-0.38931108226397304,0.12248685392897926
Germany,2016-09-01,-0.6029225438189599,-0.9084930931362799
Germany,2016-10-01,-0.39219484881368094,-0.18718660750548066
Germany,2016-11-01,-0.5339839770794316,-0.7980452220151856
Germany,2016-12-01,-0.6664363202047351,-0.3675881257516442
